index,latitude,longitude,comments
1,6.57182,0.2637,
2,6.56326,0.22908,
3,6.5446,0.20564,
4,6.51524,0.19206,
5,6.49433,0.19217,
6,6.48118,0.19344,
7,6.47344,0.19707,
8,6.47165,0.19827,
9,6.46405,0.22938,
10,6.46414,0.24552,
11,6.466,0.25805,
12,6.46726,0.27059,
13,6.47687,0.27951,
14,6.49902,0.28536,
15,6.53011,0.28818,
16,6.54751,0.29885,
17,6.56906,0.3065,
18,6.58822,0.31178,
19,6.60141,0.31888,
20,6.6323,0.34023,
21,6.66704,0.352,
22,6.69042,0.36562,
23,6.71202,0.37986,
24,6.72822,0.39233,
25,6.74859,0.4,
26,6.77985,0.43391,
27,6.78415,0.45542,
28,6.77472,0.48059,
29,6.7796,0.5003,
30,6.79998,0.51096,
31,6.82829,0.53193,
32,6.84682,0.52998,
33,6.85307,0.53331,
34,6.86827,0.53761,
35,6.87834,0.54844,
36,6.90095,0.55906,
37,6.92276,0.55833,
38,6.93477,0.54946,
39,6.9381,0.54321,
40,6.9439,0.52622,
41,6.94995,0.5164,
42,6.96445,0.51783,
43,6.96787,0.5029,
44,6.96856,0.49175,
45,6.95953,0.4695,
46,6.95574,0.45578,
47,6.94709,0.43539,
48,6.93728,0.40498,
49,6.91491,0.38838,
50,6.90225,0.38214,
51,6.88802,0.37317,
52,6.82574,0.35189,
53,6.78747,0.3498,
54,6.75396,0.34281,
55,6.7204,0.33103,
56,6.69524,0.31802,
57,6.676,0.2966,
58,6.64845,0.28719,
59,6.60899,0.28501,
