global_plotid,projectid,nftid,latitude,longitude,offsets,emitted,ingress,soi_text,uuid
1,Avatime_phase1,2607,6.49549,0.19296,6.547645569,2.317806959,8.865452766,None,79cd5ea9-4e6e-418b-bd4d-50760b2080ec
2,Avatime_phase1,11401,6.50178,0.19296,7.082510948,2.554943323,9.637454033,None,06eb649e-1cb4-46bb-be67-2d35321d830c
3,Avatime_phase1,16544,6.50268,0.19296,8.700950623,2.613633633,11.31458473,None,d7332166-0cc9-4f1f-898a-b3f6da25b5f5
4,Avatime_phase1,12905,6.50358,0.19296,9.548929214,2.466339588,12.01526928,None,2006c2ce-16e8-44e0-9662-e2c838002652
5,Avatime_phase1,19619,6.50447,0.19296,8.05348587,3.035061121,11.08854675,None,3d5e458d-f584-4367-9f44-1e6f498c5afb
6,Avatime_phase1,19672,6.50537,0.19296,8.746513367,4.330835342,13.07734871,None,4dc05f10-de15-45fd-bdea-9a14a250ea88
7,Avatime_phase1,1876,6.50627,0.19296,9.068585396,4.134065628,13.20265102,None,a4ac4351-dc09-44a9-b80a-c3ed2ac864bb
8,Avatime_phase1,11872,6.50717,0.19296,7.570363045,3.067701101,10.63806438,None,4ed8ff54-3e87-4c18-9d3b-ab46a7fa98c9
9,Avatime_phase1,3196,6.50807,0.19296,6.1183815,2.313759804,8.432141304,None,9054cba0-466f-41f2-a5c8-2753d383f829
10,Avatime_phase1,6424,6.50897,0.19296,6.082348824,2.2992239,8.381572723,None,77323211-c915-48ca-a904-c0110f35f38c
11,Avatime_phase1,3973,6.50986,0.19296,6.081161499,2.298953056,8.380114555,None,ab06465c-fc97-4c69-b054-3c4806eff50b
12,Avatime_phase1,7778,6.51436,0.19296,6.10012579,3.859906673,9.960032463,None,c56fc476-96d7-4e9b-bea0-9ad15478d207
13,Avatime_phase1,7464,6.51525,0.19296,6.238640785,5.179569244,11.41821003,None,5cd8d1ee-272f-43ae-aa14-490bb734aebe
14,Avatime_phase1,12024,6.51615,0.19296,6.557762623,3.565177441,10.12294006,None,e6620d7e-e6a2-42fd-b6de-4a257a7af450
15,Avatime_phase1,3094,6.48112,0.19387,6.8782444,2.423306465,9.301550865,None,f577e6cb-6cea-4376-8086-ee431458b0f9
16,Avatime_phase1,17328,6.48202,0.19387,6.617274284,2.401298761,9.018572807,None,76a8d322-ee27-49e7-904f-aeac8520913e
17,Avatime_phase1,6740,6.48291,0.19387,6.168247223,2.362883806,8.531130791,None,bcecc2fd-1ba6-435f-87cd-35824c996296
18,Avatime_phase1,8765,6.48381,0.19387,6.353446007,2.509077311,8.862523079,None,fbb9eead-d287-4765-b105-4b7a5a0c9c22
19,Avatime_phase1,8916,6.48471,0.19387,6.183420181,2.434516191,8.617936134,None,eea6d1cc-7291-4ff6-b061-33c61ddd3fda
20,Avatime_phase1,9296,6.48561,0.19387,6.846180916,3.359571695,10.20575237,None,a61ab96a-7734-40b7-afa9-9d8e9443abc0
21,Avatime_phase1,8579,6.48651,0.19387,6.460015774,3.561234951,10.02125072,None,6f7112ea-a402-4487-b8ae-7846a7c7ad5a
22,Avatime_phase1,15339,6.49549,0.19387,6.096832275,2.328375578,8.425208092,None,4d24f339-1497-42a0-9b3d-fac6f783de74
23,Avatime_phase1,7257,6.49639,0.19387,6.131902695,2.284255028,8.416157722,None,88d1bc01-1494-4bae-a652-e7f162b506b5
24,Avatime_phase1,12814,6.50268,0.19387,6.746143341,2.22238946,8.968532562,None,801407af-6d50-4abf-9077-8041f56fe200
25,Avatime_phase1,10149,6.50358,0.19387,6.637413025,2.33652854,8.973941803,None,3aa5efb9-d3b2-48ef-a382-cf29fb97a6cd
26,Avatime_phase1,5638,6.50447,0.19387,6.688114643,2.550353527,9.23846817,None,9295f1ad-6943-443b-a43c-ead2d88d981a
27,Avatime_phase1,9754,6.50537,0.19387,9.261236191,3.332848549,12.59408474,None,e5ae978d-c562-4012-b595-a527de80b0d0
28,Avatime_phase1,11335,6.50627,0.19387,8.123474121,2.797553778,10.92102814,None,3e24c87f-8b0a-4596-bd5e-14f0cc6e288e
29,Avatime_phase1,12877,6.50717,0.19387,7.172942638,2.628999233,9.801941872,None,444365ea-a932-4138-8440-bab183921522
30,Avatime_phase1,14018,6.50807,0.19387,6.20570755,2.327407598,8.533115387,None,065279c1-1a2c-4cd5-87a7-150da5820c72
31,Avatime_phase1,18224,6.50897,0.19387,6.749051094,2.4300282,9.179079056,None,0021c848-f0a0-4bd1-a829-f5d8eb9c3b41
32,Avatime_phase1,7326,6.50986,0.19387,6.690800667,2.417437792,9.10823822,None,1ed5627e-e1b2-4c05-acd5-122b4fc4c92b
33,Avatime_phase1,8621,6.51076,0.19387,6.09452343,2.301514864,8.396038055,None,e1cc2fdf-704e-4657-a8a0-f19d43f80b33
34,Avatime_phase1,10798,6.51346,0.19387,6.079638958,2.322947979,8.402586937,None,943c1b57-c853-4b59-869a-1a352f071ba1
35,Avatime_phase1,16763,6.51436,0.19387,6.164524078,3.206103563,9.370627403,None,0e68c8da-fcb4-406a-9151-1aa3e1ae6cfb
36,Avatime_phase1,10956,6.51525,0.19387,6.403141975,5.023361206,11.42650318,None,f5314090-ab6f-469e-9506-a81b9380d9a3
37,Avatime_phase1,16014,6.51615,0.19387,6.750192642,3.913584948,10.66377735,None,e574b474-d8bf-4683-8fc9-3f631840852c
38,Avatime_phase1,8800,6.51705,0.19387,6.612542152,3.615849495,10.22839165,None,bba101e1-427f-4cbc-a5c1-2561c7c0bfba
39,Avatime_phase1,5785,6.51795,0.19387,6.94977951,3.870857239,10.82063675,None,c6ff8be5-f2d2-45f0-8a61-9f34590b4f25
40,Avatime_phase1,9188,6.48112,0.19477,6.658959389,2.586559296,9.245518684,None,79815ecb-cd20-439b-b540-4aafcdd92a9f
41,Avatime_phase1,4160,6.48291,0.19477,6.280220032,3.91624856,10.19646835,None,70f34b54-8d14-4986-a36a-7a79ba85d090
42,Avatime_phase1,5772,6.48381,0.19477,9.332929611,3.414166689,12.74709606,None,10869143-f6eb-417d-9224-6887e9cc636b
43,Avatime_phase1,10447,6.48471,0.19477,7.208665371,3.28690958,10.49557495,None,ccf3c737-913c-4b58-84df-46419a9fdf02
44,Avatime_phase1,7476,6.48561,0.19477,7.838484764,4.390942574,12.22942734,None,093d4135-2acc-4d36-8598-385f45793acb
45,Avatime_phase1,15934,6.48651,0.19477,6.663004875,2.932363272,9.595368385,None,1c26b5db-8910-4104-8965-8cc9e3837a49
46,Avatime_phase1,4959,6.49369,0.19477,6.252266407,4.317208767,10.56947517,None,e018d6a2-abe1-4294-b12c-7f7d34de0851
47,Avatime_phase1,16040,6.49459,0.19477,6.17154789,2.469216347,8.640764236,None,5077b1c4-0ec5-4364-bfbb-a240d50dbc97
48,Avatime_phase1,2506,6.49639,0.19477,6.534762383,2.396003008,8.930765152,None,22fa6e94-3296-4273-bb7d-b4709184ea58
49,Avatime_phase1,17788,6.50537,0.19477,6.322535992,2.760337353,9.082873344,None,69df0ba6-5f72-44cb-afa9-c0bdc6df50b8
50,Avatime_phase1,17356,6.50627,0.19477,6.183075905,2.346232176,8.529308319,None,dbe000e8-cd5e-464f-8ade-ba5b3cd41ebb
51,Avatime_phase1,4423,6.50717,0.19477,6.12976265,2.315110922,8.44487381,None,3df00b05-7468-405f-9a8f-d21706f75bfd
52,Avatime_phase1,19294,6.50807,0.19477,6.434766769,2.315401793,8.7501688,None,90ff218b-df3e-43e8-83db-17fa58d13154
53,Avatime_phase1,6462,6.50897,0.19477,9.810757637,2.540106058,12.35086346,None,01d77dea-8054-45d0-a6d2-f718b665b57a
54,Avatime_phase1,3063,6.50986,0.19477,9.340454102,2.576831579,11.91728592,None,64cadc2e-e8e7-4182-9b17-d6c4c77d1756
