ID,latitude,longitude,elevation,feature,description,comment
15,6.8225,0.4277,497,trees,a big tree among other small trees by the stream,part of the forest in the headwater of Obianim stream
16,6.828,0.4251,493,ceiba,a big tree with forest beneath mt Gayi area,Part of the Avatime land forest area
17,6.8332,0.4252,593,trees,boundary coordinates,"This is the boundary area for Avatime Vane, Avatime Biakpa and Avatime Amedzofe"
18,6.8182,0.439,1320,trees,big and medium trees in the forest on the mountain,Forest area within the Avatime Vame Forest zone on the mountain range and beyond
19,6.918,0.4391,1307,trees,big and medium trees in the forest on the mountain,
20,6.8176,0.4395,1320,trees,dense forest area with trees on the moutain range over looking Avatime Vane,Boundary coordinate between Avatime Vane Forest Zone towards Akame Agale Forest zone
21,6.8875,0.4246,202,mountain area,forest area around the wambie mountain at Avatime bzokpe,Boundary coordinates between Avatime Dzokpe N.T. and Logba Alakpeti
22,6.8761,0.4353,261,trees,big and medium trees within the forest,Boundary coordinate between Avatime Gbadzeme and Logba Klikpo Area
23,6.8187,0.4072,539,custard apple tree,forest on and around the mountain Avatime dzogbeteme,Coordinates at Avatime Dzogbefume towards Nyagbo forest area
24,6.7979,0.4234,288,blank,coordinate taken beside an unidentified tree,Boundary coordinate between Avatime Vane and Saviefe Agorkpo
25,6.7969,0.4355,275,palm tree,coordinate taken by an oil palm tree,Boundary coordinate between Avatime Vame and DzoloKpuita
26,6.9042,0.3894,130,Ceiba Tree,Tafi Monkey Sanctuary,A very Big and Tall Tree over 100 years old
27,6.905,0.388,136,Odum Tree,Monkeys Forest,A very big tree over 100 years old
28,6.907,0.3885,131,Ceiba Tree,Monkey Forest,A very big Tree surrounded by other Big Tree
29,6.5424,0.2317,136,Afram,Monkey Forest,Big Tree in the endive
30,6.5414,0.2321,130,Unknown Spice,Monkey Forest  ,Tree with tick forest
31,6.54,0.2259,132,Unknown Spice,Boundary of the Monkey Forest ,Forest with a lot of monkeys
32,6.5153,0.2515,198,Mother fresh water pond,Average water  fall with a deep pond ,The pond is the mother of all fresh water ponds in Avatime
33,6.515,0.2457,240,Forest ,Uncultivated forest  Area ,Forest along Avatime Biakpa to Avatime Fume Road 
34,6.5134,0.2459,331,forest,Forest area,Forest along Avatime Biakpa to Avatime Fume Road
35,6.4911,0.2581,437,Forest ,Forest Accra ,Forest around Avatime Vane.
36,6.8208,0.4293,473,Red Cedar ,The tree is by a fresh water stream,Part of Avatime Vane Forest 
37,6.8208,0.4296,483,Nyame dua,The tree is surrounded by other smaller trees,Part of Avatime vane Forest
38,6.8217,0.4236,494,The Odum ,Odum is being surrounded by other trees,Part of Avatime Vane Forest 
39,6.8204,0.4272,454,Variety  of trees,,Part of forest beneath the mountain Range  over looking Avatime Vane
40,6.8225,0.4277,497,Trees ,A big tree   among other small trees by the Stream ,Part of the forest in the head waters of Obianim Stream  
41,6.828,0.4251,493,Ceiba,A big Tree with the forest beneath  Mt. Gayi Area,"This is the Boundary Area for Avatime Vane, Avatime Biakpa and Avatime Amedzofe"
42,6.8332,0.4252,593,trees,  Boundary Coordinates ,"This is the boundary area  for Avatime Vane, Avatime Biakpa and Avatime Amedzofe"
43,6.8182,0.439,1320,tress,Big and Medium Tress in the forest on the Mountain ,Forest area with the Avatime Vane forest zone on the mountain Range and Beyond
44,6.918,0.4391,1307,trees,Big and medium trees in the forest on the mountain ,
45,6.8176,0.4395,1320,trees,Dense forest area with trees on the mountain Range over looking Avatime Vane,Boundary coordinate between Avatime Vane forest zone towards Akame Agate forest zone
46,6.8875,0.4246,203,Mountain Area ,Forest area around the wanbie Mountain at Avatime Dzokpe,Boundary coordinates between Avatime Dzokpe N.T. and Logba Alakpeti
,6.8761,0.4353,261,trees,Big and medium trees within the forest,Boundary coordinate between Avatime Gbadzeme and Logba Klikpo Area
,6.8187,0.4072,539,Custard Apple Tree,Forest on and around  the mountain in Avatime Dzogbefume,Coordinates at Avatime Dzogbefume towards Nyagbo forest area
,6.7979,0.4234,288,blank,Coordinate taken beside unidentified tree,Boundary coordinate between Avatime Vane and Saviefe Agorkpo
,6.7969,0.4355,275,Palm Tree ,Coordinates taken by an oil Palm Tree,Boundary coordinate between Avatime Vane and DzoloKpuita 
15,6.8225,0.4277,497,trees,a big tree among other small trees by the stream,part of the forest in the headwater of Obianim stream
16,6.828,0.4251,493,ceiba,a big tree with forest beneath mt Gayi area,Part of the Avatime land forest area
17,6.8332,0.4252,593,trees,boundary coordinates,"This is the boundary area for Avatime Vane, Avatime Biakpa and Avatime Amedzofe"
18,6.8182,0.439,1320,trees,big and medium trees in the forest on the mountain,Forest area within the Avatime Vame Forest zone on the mountain range and beyond
19,6.918,0.4391,1307,trees,big and medium trees in the forest on the mountain,
20,6.8176,0.4395,1320,trees,dense forest area with trees on the moutain range over looking Avatime Vane,Boundary coordinate between Avatime Vane Forest Zone towards Akame Agale Forest zone
21,6.8875,0.4246,202,mountain area,forest area around the wambie mountain at Avatime bzokpe,Boundary coordinates between Avatime Dzokpe N.T. and Logba Alakpeti
22,6.8761,0.4353,261,trees,big and medium trees within the forest,Boundary coordinate between Avatime Gbadzeme and Logba Klikpo Area
23,6.8187,0.4072,539,custard apple tree,forest on and around the mountain Avatime dzogbeteme,Coordinates at Avatime Dzogbefume towards Nyagbo forest area
24,6.7979,0.4234,288,blank,coordinate taken beside an unidentified tree,Boundary coordinate between Avatime Vane and Saviefe Agorkpo
25,6.7969,0.4355,275,palm tree,coordinate taken by an oil palm tree,Boundary coordinate between Avatime Vame and DzoloKpuita
26,6.9042,0.3894,130,Ceiba Tree,Tafi Monkey Sanctuary,A very Big and Tall Tree over 100 years old
27,6.905,0.388,136,Odum Tree,Monkeys Forest,A very big tree over 100 years old
28,6.907,0.3885,131,Ceiba Tree,Monkey Forest,A very big Tree surrounded by other Big Tree
29,6.5424,0.2317,136,Afram,Monkey Forest,Big Tree in the endive
30,6.5414,0.2321,130,Unknown Spice,Monkey Forest  ,Tree with tick forest
31,6.54,0.2259,132,Unknown Spice,Boundary of the Monkey Forest ,Forest with a lot of monkeys
32,6.5153,0.2515,198,Mother fresh water pond,Average water  fall with a deep pond ,The pond is the mother of all fresh water ponds in Avatime
